Time,Region,Interruptions,Customers without electricity
"{0: 'Thu Apr  6 17:42:52 2023', 1: 'Thu Apr  6 17:42:52 2023', 2: 'Thu Apr  6 17:42:52 2023', 3: 'Thu Apr  6 17:42:52 2023', 4: 'Thu Apr  6 17:42:52 2023', 5: 'Thu Apr  6 17:42:52 2023', 6: 'Thu Apr  6 17:42:52 2023', 7: 'Thu Apr  6 17:42:52 2023', 8: 'Thu Apr  6 17:42:52 2023', 9: 'Thu Apr  6 17:42:52 2023', 10: 'Thu Apr  6 17:42:52 2023', 11: 'Thu Apr  6 17:42:52 2023', 12: 'Thu Apr  6 17:42:52 2023', 13: 'Thu Apr  6 17:42:52 2023', 14: 'Thu Apr  6 17:42:52 2023', 15: 'Thu Apr  6 17:42:52 2023', 16: 'Thu Apr  6 17:42:52 2023', 17: 'Thu Apr  6 17:42:52 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '0', 3: '39', 4: '1', 5: '0', 6: '20', 7: '0', 8: '273', 9: '380', 10: '228', 11: '0', 12: '814', 13: '762', 14: '1', 15: '533', 16: '0', 17: '3 052'}","{0: '202 customers out of 83 381', 1: '0 customer out of 125 793', 2: '0 customer out of 439 419', 3: '1 802 customers out of 145 681', 4: '9 customers out of 254 670', 5: '0 customer out of 48 903', 6: '374 customers out of 190 082', 7: '0 customer out of 58 521', 8: '50 635 customers out of 267 695', 9: '82 341 customers out of 367 064', 10: '101 686 customers out of 198 465', 11: '0 customer out of 169 801', 12: '436 250 customers out of 1 084 521', 13: '121 380 customers out of 720 328', 14: '7 customers out of 23 083', 15: '85 791 customers out of 226 921', 16: '0 customer out of 134 207', 17: '880 477 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 18:47:09 2023', 1: 'Thu Apr  6 18:47:09 2023', 2: 'Thu Apr  6 18:47:09 2023', 3: 'Thu Apr  6 18:47:09 2023', 4: 'Thu Apr  6 18:47:09 2023', 5: 'Thu Apr  6 18:47:09 2023', 6: 'Thu Apr  6 18:47:09 2023', 7: 'Thu Apr  6 18:47:09 2023', 8: 'Thu Apr  6 18:47:09 2023', 9: 'Thu Apr  6 18:47:09 2023', 10: 'Thu Apr  6 18:47:09 2023', 11: 'Thu Apr  6 18:47:09 2023', 12: 'Thu Apr  6 18:47:09 2023', 13: 'Thu Apr  6 18:47:09 2023', 14: 'Thu Apr  6 18:47:09 2023', 15: 'Thu Apr  6 18:47:09 2023', 16: 'Thu Apr  6 18:47:09 2023', 17: 'Thu Apr  6 18:47:09 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '0', 1: '0', 2: '0', 3: '34', 4: '1', 5: '0', 6: '17', 7: '0', 8: '292', 9: '405', 10: '228', 11: '0', 12: '853', 13: '782', 14: '1', 15: '550', 16: '0', 17: '3 163'}","{0: '0 customer out of 83 381', 1: '0 customer out of 125 793', 2: '0 customer out of 439 419', 3: '1 718 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '320 customers out of 190 082', 7: '0 customer out of 58 521', 8: '44 677 customers out of 267 695', 9: '75 550 customers out of 367 064', 10: '99 370 customers out of 198 465', 11: '0 customer out of 169 801', 12: '424 501 customers out of 1 084 521', 13: '116 341 customers out of 720 328', 14: '7 customers out of 23 083', 15: '83 182 customers out of 226 921', 16: '0 customer out of 134 207', 17: '845 669 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 19:10:09 2023', 1: 'Thu Apr  6 19:10:09 2023', 2: 'Thu Apr  6 19:10:09 2023', 3: 'Thu Apr  6 19:10:09 2023', 4: 'Thu Apr  6 19:10:09 2023', 5: 'Thu Apr  6 19:10:09 2023', 6: 'Thu Apr  6 19:10:09 2023', 7: 'Thu Apr  6 19:10:09 2023', 8: 'Thu Apr  6 19:10:09 2023', 9: 'Thu Apr  6 19:10:09 2023', 10: 'Thu Apr  6 19:10:09 2023', 11: 'Thu Apr  6 19:10:09 2023', 12: 'Thu Apr  6 19:10:09 2023', 13: 'Thu Apr  6 19:10:09 2023', 14: 'Thu Apr  6 19:10:09 2023', 15: 'Thu Apr  6 19:10:09 2023', 16: 'Thu Apr  6 19:10:09 2023', 17: 'Thu Apr  6 19:10:09 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '0', 1: '0', 2: '1', 3: '27', 4: '1', 5: '0', 6: '14', 7: '0', 8: '304', 9: '407', 10: '229', 11: '0', 12: '851', 13: '787', 14: '1', 15: '571', 16: '0', 17: '3 193'}","{0: '0 customer out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '744 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '306 customers out of 190 082', 7: '0 customer out of 58 521', 8: '44 066 customers out of 267 695', 9: '72 014 customers out of 367 064', 10: '99 415 customers out of 198 465', 11: '0 customer out of 169 801', 12: '416 408 customers out of 1 084 521', 13: '111 921 customers out of 720 328', 14: '7 customers out of 23 083', 15: '81 149 customers out of 226 921', 16: '0 customer out of 134 207', 17: '826 261 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 19:25:09 2023', 1: 'Thu Apr  6 19:25:09 2023', 2: 'Thu Apr  6 19:25:09 2023', 3: 'Thu Apr  6 19:25:09 2023', 4: 'Thu Apr  6 19:25:09 2023', 5: 'Thu Apr  6 19:25:09 2023', 6: 'Thu Apr  6 19:25:09 2023', 7: 'Thu Apr  6 19:25:09 2023', 8: 'Thu Apr  6 19:25:09 2023', 9: 'Thu Apr  6 19:25:09 2023', 10: 'Thu Apr  6 19:25:09 2023', 11: 'Thu Apr  6 19:25:09 2023', 12: 'Thu Apr  6 19:25:09 2023', 13: 'Thu Apr  6 19:25:09 2023', 14: 'Thu Apr  6 19:25:09 2023', 15: 'Thu Apr  6 19:25:09 2023', 16: 'Thu Apr  6 19:25:09 2023', 17: 'Thu Apr  6 19:25:09 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '1', 3: '26', 4: '1', 5: '0', 6: '15', 7: '0', 8: '301', 9: '410', 10: '231', 11: '0', 12: '862', 13: '788', 14: '1', 15: '573', 16: '0', 17: '3 210'}","{0: '4 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '355 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '307 customers out of 190 082', 7: '0 customer out of 58 521', 8: '42 690 customers out of 267 695', 9: '72 326 customers out of 367 064', 10: '99 438 customers out of 198 465', 11: '0 customer out of 169 801', 12: '404 270 customers out of 1 084 521', 13: '111 778 customers out of 720 328', 14: '7 customers out of 23 083', 15: '80 493 customers out of 226 921', 16: '0 customer out of 134 207', 17: '811 899 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 19:40:10 2023', 1: 'Thu Apr  6 19:40:10 2023', 2: 'Thu Apr  6 19:40:10 2023', 3: 'Thu Apr  6 19:40:10 2023', 4: 'Thu Apr  6 19:40:10 2023', 5: 'Thu Apr  6 19:40:10 2023', 6: 'Thu Apr  6 19:40:10 2023', 7: 'Thu Apr  6 19:40:10 2023', 8: 'Thu Apr  6 19:40:10 2023', 9: 'Thu Apr  6 19:40:10 2023', 10: 'Thu Apr  6 19:40:10 2023', 11: 'Thu Apr  6 19:40:10 2023', 12: 'Thu Apr  6 19:40:10 2023', 13: 'Thu Apr  6 19:40:10 2023', 14: 'Thu Apr  6 19:40:10 2023', 15: 'Thu Apr  6 19:40:10 2023', 16: 'Thu Apr  6 19:40:10 2023', 17: 'Thu Apr  6 19:40:10 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '1', 3: '25', 4: '1', 5: '0', 6: '15', 7: '0', 8: '299', 9: '410', 10: '231', 11: '0', 12: '878', 13: '783', 14: '1', 15: '577', 16: '0', 17: '3 222'}","{0: '4 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '354 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '314 customers out of 190 082', 7: '0 customer out of 58 521', 8: '42 966 customers out of 267 695', 9: '70 787 customers out of 367 064', 10: '99 438 customers out of 198 465', 11: '0 customer out of 169 801', 12: '404 199 customers out of 1 084 521', 13: '110 664 customers out of 720 328', 14: '7 customers out of 23 083', 15: '77 493 customers out of 226 921', 16: '0 customer out of 134 207', 17: '806 457 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 19:55:11 2023', 1: 'Thu Apr  6 19:55:11 2023', 2: 'Thu Apr  6 19:55:11 2023', 3: 'Thu Apr  6 19:55:11 2023', 4: 'Thu Apr  6 19:55:11 2023', 5: 'Thu Apr  6 19:55:11 2023', 6: 'Thu Apr  6 19:55:11 2023', 7: 'Thu Apr  6 19:55:11 2023', 8: 'Thu Apr  6 19:55:11 2023', 9: 'Thu Apr  6 19:55:11 2023', 10: 'Thu Apr  6 19:55:11 2023', 11: 'Thu Apr  6 19:55:11 2023', 12: 'Thu Apr  6 19:55:11 2023', 13: 'Thu Apr  6 19:55:11 2023', 14: 'Thu Apr  6 19:55:11 2023', 15: 'Thu Apr  6 19:55:11 2023', 16: 'Thu Apr  6 19:55:11 2023', 17: 'Thu Apr  6 19:55:11 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '2', 1: '0', 2: '1', 3: '24', 4: '1', 5: '0', 6: '15', 7: '0', 8: '301', 9: '392', 10: '232', 11: '0', 12: '881', 13: '791', 14: '1', 15: '584', 16: '0', 17: '3 225'}","{0: '22 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '264 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '425 customers out of 190 082', 7: '0 customer out of 58 521', 8: '42 899 customers out of 267 695', 9: '68 762 customers out of 367 064', 10: '97 898 customers out of 198 465', 11: '0 customer out of 169 801', 12: '393 311 customers out of 1 084 521', 13: '109 391 customers out of 720 328', 14: '7 customers out of 23 083', 15: '77 373 customers out of 226 921', 16: '0 customer out of 134 207', 17: '790 583 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 20:10:12 2023', 1: 'Thu Apr  6 20:10:12 2023', 2: 'Thu Apr  6 20:10:12 2023', 3: 'Thu Apr  6 20:10:12 2023', 4: 'Thu Apr  6 20:10:12 2023', 5: 'Thu Apr  6 20:10:12 2023', 6: 'Thu Apr  6 20:10:12 2023', 7: 'Thu Apr  6 20:10:12 2023', 8: 'Thu Apr  6 20:10:12 2023', 9: 'Thu Apr  6 20:10:12 2023', 10: 'Thu Apr  6 20:10:12 2023', 11: 'Thu Apr  6 20:10:12 2023', 12: 'Thu Apr  6 20:10:12 2023', 13: 'Thu Apr  6 20:10:12 2023', 14: 'Thu Apr  6 20:10:12 2023', 15: 'Thu Apr  6 20:10:12 2023', 16: 'Thu Apr  6 20:10:12 2023', 17: 'Thu Apr  6 20:10:12 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '2', 1: '0', 2: '1', 3: '24', 4: '1', 5: '0', 6: '14', 7: '0', 8: '298', 9: '379', 10: '233', 11: '0', 12: '910', 13: '793', 14: '1', 15: '586', 16: '0', 17: '3 242'}","{0: '22 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '271 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '449 customers out of 190 082', 7: '0 customer out of 58 521', 8: '37 595 customers out of 267 695', 9: '67 967 customers out of 367 064', 10: '96 266 customers out of 198 465', 11: '0 customer out of 169 801', 12: '384 208 customers out of 1 084 521', 13: '108 131 customers out of 720 328', 14: '7 customers out of 23 083', 15: '73 458 customers out of 226 921', 16: '0 customer out of 134 207', 17: '768 605 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 20:25:13 2023', 1: 'Thu Apr  6 20:25:13 2023', 2: 'Thu Apr  6 20:25:13 2023', 3: 'Thu Apr  6 20:25:13 2023', 4: 'Thu Apr  6 20:25:13 2023', 5: 'Thu Apr  6 20:25:13 2023', 6: 'Thu Apr  6 20:25:13 2023', 7: 'Thu Apr  6 20:25:13 2023', 8: 'Thu Apr  6 20:25:13 2023', 9: 'Thu Apr  6 20:25:13 2023', 10: 'Thu Apr  6 20:25:13 2023', 11: 'Thu Apr  6 20:25:13 2023', 12: 'Thu Apr  6 20:25:13 2023', 13: 'Thu Apr  6 20:25:13 2023', 14: 'Thu Apr  6 20:25:13 2023', 15: 'Thu Apr  6 20:25:13 2023', 16: 'Thu Apr  6 20:25:13 2023', 17: 'Thu Apr  6 20:25:13 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '2', 1: '0', 2: '1', 3: '23', 4: '1', 5: '0', 6: '14', 7: '0', 8: '312', 9: '362', 10: '236', 11: '0', 12: '924', 13: '798', 14: '1', 15: '620', 16: '0', 17: '3 294'}","{0: '22 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '198 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '449 customers out of 190 082', 7: '0 customer out of 58 521', 8: '37 333 customers out of 267 695', 9: '67 997 customers out of 367 064', 10: '96 300 customers out of 198 465', 11: '0 customer out of 169 801', 12: '375 460 customers out of 1 084 521', 13: '105 562 customers out of 720 328', 14: '7 customers out of 23 083', 15: '68 946 customers out of 226 921', 16: '0 customer out of 134 207', 17: '752 505 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 20:40:13 2023', 1: 'Thu Apr  6 20:40:13 2023', 2: 'Thu Apr  6 20:40:13 2023', 3: 'Thu Apr  6 20:40:13 2023', 4: 'Thu Apr  6 20:40:13 2023', 5: 'Thu Apr  6 20:40:13 2023', 6: 'Thu Apr  6 20:40:13 2023', 7: 'Thu Apr  6 20:40:13 2023', 8: 'Thu Apr  6 20:40:13 2023', 9: 'Thu Apr  6 20:40:13 2023', 10: 'Thu Apr  6 20:40:13 2023', 11: 'Thu Apr  6 20:40:13 2023', 12: 'Thu Apr  6 20:40:13 2023', 13: 'Thu Apr  6 20:40:13 2023', 14: 'Thu Apr  6 20:40:13 2023', 15: 'Thu Apr  6 20:40:13 2023', 16: 'Thu Apr  6 20:40:13 2023', 17: 'Thu Apr  6 20:40:13 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '2', 1: '0', 2: '1', 3: '23', 4: '1', 5: '0', 6: '16', 7: '0', 8: '317', 9: '358', 10: '235', 11: '0', 12: '908', 13: '803', 14: '1', 15: '633', 16: '0', 17: '3 298'}","{0: '22 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '198 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '287 customers out of 190 082', 7: '0 customer out of 58 521', 8: '35 374 customers out of 267 695', 9: '65 868 customers out of 367 064', 10: '90 792 customers out of 198 465', 11: '0 customer out of 169 801', 12: '374 914 customers out of 1 084 521', 13: '103 219 customers out of 720 328', 14: '7 customers out of 23 083', 15: '67 675 customers out of 226 921', 16: '0 customer out of 134 207', 17: '738 587 customers out of 4 538 535'}"
"{0: 'Thu Apr  6 20:55:14 2023', 1: 'Thu Apr  6 20:55:14 2023', 2: 'Thu Apr  6 20:55:14 2023', 3: 'Thu Apr  6 20:55:14 2023', 4: 'Thu Apr  6 20:55:14 2023', 5: 'Thu Apr  6 20:55:14 2023', 6: 'Thu Apr  6 20:55:14 2023', 7: 'Thu Apr  6 20:55:14 2023', 8: 'Thu Apr  6 20:55:14 2023', 9: 'Thu Apr  6 20:55:14 2023', 10: 'Thu Apr  6 20:55:14 2023', 11: 'Thu Apr  6 20:55:14 2023', 12: 'Thu Apr  6 20:55:14 2023', 13: 'Thu Apr  6 20:55:14 2023', 14: 'Thu Apr  6 20:55:14 2023', 15: 'Thu Apr  6 20:55:14 2023', 16: 'Thu Apr  6 20:55:14 2023', 17: 'Thu Apr  6 20:55:14 2023'}","{0: 'Abitibi-Témiscamingue', 1: 'Bas-Saint-Laurent', 2: 'Capitale-Nationale', 3: 'Centre-du-Québec', 4: 'Chaudière-Appalaches', 5: 'Côte-Nord', 6: 'Estrie', 7: 'Gaspésie - Îles-de-la-Madeleine', 8: 'Lanaudière', 9: 'Laurentides', 10: 'Laval', 11: 'Mauricie', 12: 'Montréal', 13: 'Montérégie', 14: 'Nord-du-Québec', 15: 'Outaouais', 16: 'Saguenay - Lac-Saint-Jean', 17: 'Across Québec'}","{0: '1', 1: '0', 2: '1', 3: '24', 4: '1', 5: '0', 6: '16', 7: '0', 8: '321', 9: '357', 10: '241', 11: '0', 12: '917', 13: '799', 14: '0', 15: '640', 16: '0', 17: '3 318'}","{0: '4 customers out of 83 381', 1: '0 customer out of 125 793', 2: '228 customers out of 439 419', 3: '200 customers out of 145 681', 4: '3 customers out of 254 670', 5: '0 customer out of 48 903', 6: '287 customers out of 190 082', 7: '0 customer out of 58 521', 8: '33 695 customers out of 267 695', 9: '65 839 customers out of 367 064', 10: '90 892 customers out of 198 465', 11: '0 customer out of 169 801', 12: '371 477 customers out of 1 084 521', 13: '98 110 customers out of 720 328', 14: '0 customer out of 23 083', 15: '64 970 customers out of 226 921', 16: '0 customer out of 134 207', 17: '725 705 customers out of 4 538 535'}"
