time,Abitibi-Témiscamingue interruptions,Abitibi-Témiscamingue customers,Bas-Saint-Laurent interruptions,Bas-Saint-Laurent customers,Capitale-Nationale interruptions,Capitale-Nationale customers,Centre-du-Québec interruptions,Centre-du-Québec customers,Chaudière-Appalaches interruptions,Chaudière-Appalaches customers,Côte-Nord interruptions,Côte-Nord customers,Estrie interruptions,Estrie customers,Gaspésie - Îles-de-la-Madeleine interruptions,Gaspésie - Îles-de-la-Madeleine customers,Lanaudière interruptions,Lanaudière customers,Laurentides interruptions,Laurentides customers,Laval interruptions,Laval customers,Mauricie interruptions,Mauricie customers,Montréal interruptions,Montréal customers,Montérégie interruptions,Montérégie customers,Nord-du-Québec interruptions,Nord-du-Québec customers,Outaouais interruptions,Outaouais customers,Saguenay - Lac-Saint-Jean interruptions,Saguenay - Lac-Saint-Jean customers,Across Québec interruptions,Across Québec customers
Mon Apr 10 17:11:02 2023,0,0,1,3,0,0,1,2,2,2,0,0,0,0,0,0,0,0,8,259,132,2396,1,92,445,15041,167,3393,0,0,177,4807,0,0,934,25995
Mon Apr 10 17:26:03 2023,0,0,2,4,0,0,1,2,2,2,0,0,0,0,0,0,0,0,9,260,128,2353,1,92,433,14579,163,3347,0,0,189,5116,0,0,928,25755
Mon Apr 10 17:41:04 2023,0,0,2,4,0,0,1,2,2,2,0,0,0,0,0,0,0,0,10,266,127,1611,1,92,428,13019,163,3088,0,0,169,5158,0,0,903,23242
Mon Apr 10 17:56:05 2023,0,0,2,4,0,0,1,2,2,2,0,0,0,0,0,0,1,81,10,266,125,1581,1,92,416,12895,156,2989,0,0,164,3263,0,0,878,21175
Mon Apr 10 18:11:06 2023,0,0,2,4,0,0,0,0,2,2,0,0,1,8,0,0,1,81,7,249,116,1466,1,92,407,13077,155,2973,0,0,164,2912,0,0,856,20864
Mon Apr 10 18:26:07 2023,0,0,2,4,1,2,0,0,2,2,0,0,1,1,0,0,1,81,6,247,113,1400,1,92,396,14708,151,1835,0,0,161,2719,0,0,835,21091
Mon Apr 10 18:41:08 2023,0,0,2,4,1,2,0,0,2,2,0,0,1,1,0,0,2,10,4,133,113,1391,1,92,401,13990,140,1945,0,0,153,2700,0,0,820,20270
Mon Apr 10 18:56:09 2023,0,0,2,4,1,2,0,0,1,1,0,0,3,21,0,0,2,10,3,7,109,1358,0,0,394,13890,132,1827,0,0,144,2657,0,0,791,19777
Mon Apr 10 19:11:10 2023,0,0,2,4,1,2,0,0,1,1,0,0,2,9,0,0,2,10,3,7,108,1356,0,0,395,13961,132,1827,0,0,142,2549,0,0,788,19726
Mon Apr 10 19:26:11 2023,0,0,2,4,1,2,0,0,1,1,0,0,2,9,0,0,2,10,3,7,106,1340,0,0,389,16452,123,1468,0,0,139,2336,0,0,768,21629
Mon Apr 10 19:41:11 2023,0,0,2,4,1,2,0,0,1,1,0,0,1,8,0,0,2,10,3,7,101,1260,0,0,380,15728,115,3099,0,0,142,2351,0,0,748,22470
Mon Apr 10 19:56:13 2023,0,0,2,4,1,2,2,7,0,0,0,0,1,8,0,0,2,10,3,15,97,1236,0,0,374,15533,105,2819,0,0,139,2626,0,0,726,22260
Mon Apr 10 20:11:14 2023,0,0,1,1,1,2,1,3,0,0,0,0,1,56,0,0,2,10,3,15,90,1157,0,0,373,15529,97,2033,0,0,139,2681,0,0,708,21487
Mon Apr 10 20:26:15 2023,0,0,0,0,1,2,1,3,0,0,0,0,1,56,0,0,3,50,3,15,87,1121,0,0,359,15001,93,1985,0,0,137,5381,0,0,685,23614
