time,Abitibi-Témiscamingue interruptions,Abitibi-Témiscamingue customers,Bas-Saint-Laurent interruptions,Bas-Saint-Laurent customers,Capitale-Nationale interruptions,Capitale-Nationale customers,Centre-du-Québec interruptions,Centre-du-Québec customers,Chaudière-Appalaches interruptions,Chaudière-Appalaches customers,Côte-Nord interruptions,Côte-Nord customers,Estrie interruptions,Estrie customers,Gaspésie - Îles-de-la-Madeleine interruptions,Gaspésie - Îles-de-la-Madeleine customers,Lanaudière interruptions,Lanaudière customers,Laurentides interruptions,Laurentides customers,Laval interruptions,Laval customers,Mauricie interruptions,Mauricie customers,Montréal interruptions,Montréal customers,Montérégie interruptions,Montérégie customers,Nord-du-Québec interruptions,Nord-du-Québec customers,Outaouais interruptions,Outaouais customers,Saguenay - Lac-Saint-Jean interruptions,Saguenay - Lac-Saint-Jean customers,Across Québec interruptions,Across Québec customers
Tue Apr 11 14:12:24 2023,0,0,0,0,0,0,2,5,0,0,0,0,4,108,1,1,1,74,2,4,22,272,1,86,200,10588,25,1501,0,0,73,1864,0,0,331,14503
Tue Apr 11 14:27:25 2023,0,0,0,0,0,0,1,3,1,5,0,0,5,110,0,0,1,74,2,4,21,261,0,0,197,8448,23,1477,0,0,68,1581,0,0,319,11963
Tue Apr 11 14:42:26 2023,0,0,1,1,0,0,1,3,1,5,0,0,5,110,0,0,1,74,2,4,21,261,0,0,200,7889,23,1477,0,0,67,1576,0,0,322,11400
Tue Apr 11 14:57:27 2023,0,0,2,8,1,682,1,3,1,5,0,0,5,110,0,0,1,74,2,3,16,174,0,0,196,7897,22,6450,0,0,66,1301,0,0,313,16707
Tue Apr 11 15:12:28 2023,0,0,2,8,2,699,1,3,1,5,0,0,5,116,0,0,1,74,2,3,15,156,0,0,192,6426,25,3003,0,0,63,1280,0,0,309,11773
Tue Apr 11 15:27:29 2023,0,0,2,8,2,699,0,0,1,5,0,0,4,114,0,0,1,74,2,3,15,230,0,0,183,6055,27,3010,0,0,59,1130,0,0,296,11328
Tue Apr 11 15:42:30 2023,0,0,2,15,1,17,0,0,1,5,0,0,4,114,0,0,2,76,2,3,17,273,0,0,182,6101,25,3603,0,0,53,1112,0,0,289,11319
Tue Apr 11 15:57:31 2023,0,0,1,14,1,171,0,0,1,5,0,0,4,30,0,0,2,76,2,3,16,184,0,0,168,5649,23,2983,0,0,49,1033,0,0,267,10148
Tue Apr 11 16:12:32 2023,0,0,1,14,1,171,0,0,1,5,0,0,5,983,0,0,2,76,2,3,15,170,0,0,157,4580,24,2122,0,0,48,1021,0,0,256,9145
Tue Apr 11 16:27:33 2023,0,0,1,14,1,171,0,0,1,5,0,0,6,34,0,0,2,76,2,3,15,170,0,0,158,4615,24,2111,0,0,51,1269,0,0,261,8468
Tue Apr 11 16:42:34 2023,0,0,1,14,1,171,0,0,1,5,0,0,5,32,0,0,2,76,2,3,14,164,1,9,152,4229,22,2090,0,0,48,1200,0,0,249,7993
Tue Apr 11 16:57:35 2023,0,0,1,14,1,171,0,0,1,5,0,0,5,32,0,0,3,92,2,3,14,164,1,9,140,3879,18,1995,0,0,45,1172,0,0,231,7536
Tue Apr 11 17:12:35 2023,0,0,1,14,1,171,0,0,1,5,0,0,5,32,0,0,3,92,2,3,15,180,1,9,125,3519,16,1976,0,0,43,1107,0,0,213,7108
Tue Apr 11 17:27:37 2023,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,3,92,3,10,12,134,1,9,122,3575,18,2009,0,0,44,1106,0,0,206,6963
Tue Apr 11 17:42:37 2023,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,3,2061,3,10,9,102,2,10,114,3365,16,1999,0,0,39,847,0,0,188,8413
Tue Apr 11 17:57:37 2023,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,3,2061,3,10,10,107,2,10,110,3051,15,1975,0,0,35,862,0,0,180,8095
Tue Apr 11 18:12:38 2023,0,0,0,0,0,0,1,81,0,0,0,0,1,14,0,0,4,2074,4,15,11,120,2,10,102,3337,13,1965,0,0,32,868,0,0,170,8484
Tue Apr 11 18:27:39 2023,0,0,0,0,0,0,1,81,0,0,0,0,1,14,0,0,5,2079,4,15,12,128,2,10,101,3375,11,1918,0,0,27,827,0,0,164,8447
Tue Apr 11 18:42:40 2023,0,0,0,0,0,0,1,81,0,0,0,0,0,6,0,0,4,2066,3,8,10,104,2,10,92,2589,11,1913,0,0,29,842,0,0,152,7619
Tue Apr 11 18:57:42 2023,0,0,0,0,1,11,1,81,1,4,0,0,1,23,0,0,4,2066,3,8,7,75,2,10,89,2466,9,1887,0,0,27,478,1,4,146,7113
Tue Apr 11 19:12:43 2023,0,0,0,0,0,0,1,81,1,4,0,0,1,23,0,0,4,2066,2,6,7,75,2,10,88,2480,10,1884,0,0,32,610,1,190,149,7429
Tue Apr 11 19:27:44 2023,0,0,5,8,0,0,1,81,1,4,0,0,1,23,0,0,4,2066,2,6,7,75,2,10,77,2143,10,1884,0,0,31,563,2,265,143,7128
Tue Apr 11 19:42:45 2023,0,0,5,8,0,0,1,81,0,0,0,0,1,23,0,0,4,2066,1,1,6,74,1,9,77,2236,11,82,0,0,48,809,3,272,158,5661
Tue Apr 11 19:57:45 2023,0,0,6,10,0,0,0,0,0,0,0,0,1,17,4,775,4,2066,0,0,6,74,1,9,63,1898,6,35,0,0,45,743,4,317,140,5944
Tue Apr 11 20:12:47 2023,0,0,6,10,0,0,0,0,0,0,0,0,1,17,3,773,3,2050,0,0,3,51,1,9,61,1825,5,33,0,0,47,760,2,265,132,5793
Tue Apr 11 20:27:49 2023,0,0,6,10,0,0,0,0,0,0,0,0,1,17,3,772,2,2048,0,0,3,51,1,9,54,1715,4,26,0,0,45,672,2,265,121,5585
Tue Apr 11 20:42:50 2023,0,0,7,12,0,0,0,0,0,0,1,2012,1,17,3,573,2,2048,0,0,2,24,3,38,58,1784,3,23,0,0,29,595,2,265,111,7391
Tue Apr 11 20:57:51 2023,0,0,7,12,0,0,0,0,0,0,1,2012,1,17,4,580,2,2048,0,0,1,11,2,37,55,1743,4,30,0,0,29,595,2,265,108,7350
Tue Apr 11 21:12:53 2023,0,0,7,12,0,0,0,0,0,0,1,2012,1,17,5,1181,2,1395,0,0,1,11,2,37,48,1426,4,22,0,0,29,595,2,265,102,6973
Tue Apr 11 21:27:55 2023,0,0,7,12,0,0,0,0,0,0,1,2012,1,17,6,1189,2,1395,0,0,1,11,2,37,47,1406,5,33,0,0,28,585,2,265,102,6962
Tue Apr 11 21:42:58 2023,0,0,1,35,0,0,0,0,0,0,1,2012,0,0,7,1189,2,1395,0,0,1,11,2,37,47,1429,6,2615,0,0,28,585,1,75,96,9383
Tue Apr 11 21:57:59 2023,0,0,1,35,0,0,0,0,0,0,2,2012,0,0,8,1191,2,1395,0,0,1,11,2,37,49,1629,5,33,0,0,28,585,2,145,100,7073
Wed Apr 12 06:29:49 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,9,1,4,0,0,1,3,41,1482,1,11,0,0,25,581,0,0,72,2094
Wed Apr 12 06:44:50 2023,0,0,0,0,1,24,1,9,0,0,0,0,0,0,1,4,2,9,1,4,0,0,1,3,41,1482,1,11,0,0,25,581,0,0,74,2127
Wed Apr 12 06:55:12 2023,0,0,0,0,1,24,1,9,0,0,0,0,1,1,1,4,2,9,1,4,0,0,1,3,42,1490,1,11,0,0,25,581,0,0,76,2136
Wed Apr 12 07:10:13 2023,0,0,0,0,1,24,1,9,0,0,0,0,1,1,1,4,1,5,1,4,0,0,1,3,42,1486,1,11,0,0,27,588,0,0,77,2135
Wed Apr 12 07:25:14 2023,0,0,0,0,1,24,1,9,1,2,0,0,1,1,1,4,1,5,1,4,0,0,0,0,45,1544,1,11,0,0,27,588,0,0,80,2192
Wed Apr 12 07:40:15 2023,0,0,0,0,1,24,1,9,1,2,0,0,1,1,1,4,1,5,1,4,0,0,0,0,44,1519,1,11,0,0,27,588,0,0,79,2167
Wed Apr 12 07:55:16 2023,0,0,0,0,1,24,1,9,1,2,0,0,1,1,2,620,1,5,1,4,0,0,1,2,46,1541,1,11,0,0,28,417,0,0,84,2636
Wed Apr 12 08:10:17 2023,0,0,1,2,2,32,1,9,1,2,0,0,1,1,3,313,1,5,1,4,0,0,1,2,46,1541,1,11,0,0,28,415,0,0,87,2337
Wed Apr 12 08:25:27 2023,0,0,1,2,2,32,1,9,1,2,0,0,1,1,3,313,1,5,1,4,0,0,1,2,46,1541,1,11,0,0,28,415,0,0,87,2337
Wed Apr 12 08:40:28 2023,0,0,1,2,4,126,1,9,1,2,0,0,1,1,2,311,1,5,2,41,0,0,1,2,50,1743,2,13,0,0,29,416,0,0,95,2671
Wed Apr 12 08:55:29 2023,0,0,1,2,4,126,1,9,2,22,0,0,1,1,2,311,1,5,2,41,0,0,1,2,50,1753,2,13,0,0,30,433,0,0,97,2718
Wed Apr 12 09:10:30 2023,0,0,1,2,3,102,0,0,2,22,0,0,1,1,2,311,1,5,2,41,0,0,1,2,51,1741,3,23,0,0,31,466,0,0,98,2716
Wed Apr 12 09:25:31 2023,0,0,0,0,3,102,1,1,2,22,0,0,1,1,2,311,1,5,2,41,0,0,1,2,54,1836,4,24,0,0,32,467,0,0,103,2812
Wed Apr 12 09:40:32 2023,0,0,0,0,3,102,1,1,1,20,0,0,1,1,2,311,1,5,1,4,0,0,1,2,55,1805,4,22,0,0,31,465,0,0,101,2738
Wed Apr 12 09:55:33 2023,0,0,0,0,4,103,1,1,1,20,0,0,1,1,1,4,1,5,1,4,0,0,1,2,53,1893,2,12,0,0,31,465,0,0,97,2510
Wed Apr 12 10:10:34 2023,0,0,0,0,4,103,1,1,1,20,0,0,1,1,1,4,1,5,1,4,1,61,1,2,52,1869,2,12,0,0,32,469,0,0,98,2551
Wed Apr 12 10:25:35 2023,0,0,0,0,4,103,1,1,1,20,0,0,2,2,1,4,0,0,1,4,2,69,2,5,52,1953,3,24,0,0,31,436,0,0,100,2621
Wed Apr 12 10:40:36 2023,0,0,0,0,4,103,2,5,1,20,0,0,2,3,1,4,0,0,1,4,2,69,2,5,50,1931,2,23,0,0,30,465,0,0,97,2632
Wed Apr 12 10:55:37 2023,0,0,0,0,4,103,2,6,1,20,0,0,2,3,0,0,1,10,2,1654,2,69,2,5,45,1700,2,23,0,0,32,468,0,0,95,4061
Wed Apr 12 11:10:38 2023,0,0,0,0,5,124,1,2,1,20,0,0,2,3,0,0,1,10,2,449,3,80,1,3,46,2622,2,24,0,0,31,464,0,0,95,3801
Wed Apr 12 11:25:38 2023,0,0,0,0,6,126,1,2,1,20,0,0,3,4,0,0,3,45,2,449,3,80,1,3,42,2977,2,24,0,0,32,469,0,0,96,4199
Wed Apr 12 11:40:39 2023,0,0,0,0,4,102,0,0,1,20,0,0,3,4,0,0,3,45,2,449,3,80,0,0,44,4762,2,24,0,0,29,435,0,0,91,5921
Wed Apr 12 11:55:40 2023,0,0,0,0,4,102,1,6,1,20,0,0,2,2,1,6,3,45,1,445,3,80,1,4,41,3182,2,24,0,0,29,435,0,0,89,4351
